21916	
	(-0.005611502461,0)	(0.0206103272,0)	(0,-0.1355889026)	(-0.01703896908,0)	(0.02187624278,0)
	(0,-0.1169621008)	(-0.01818072521,0)	(0.03615977499,0)	(0,-0.164190058)	(0.0007065971929,0)
	(0.002261821118,0)	(0,-0.06282684881)	(0.003744093345,0)	(0.01666039015,0)	(0,-0.1158827851)
	(-0.0003730592321,0)	(-0.001290042324,0)	(0,-0.02814906674)	(0.001485734587,0)	(0.01010812703,0)
	(0,-0.1046831568)	(-0.0008514763201,0)	(0.0007285829323,0)	(0,-0.05458853326)	(0.3540079949,0)
	(0.0005602541552,0)	(-0.0003738985345,0)	(0,-0.0344807321)	(0.0003007818343,0)	(0.001154439378,0)
	(0,-0.02526049863)	(2.317642566e-033,0)	(2.254815254e-035,0)	(0,2.95788831e-034)	(8.734717967e-034,0)
	(5.689190207e-036,0)	(0,9.972980903e-035)	(0.3576288711,0)	(3.153279534e-033,0)	(-7.580043774e-035,0)
	(0,4.81657567e-034)	(1.381520937e-033,0)	(-4.618723027e-036,0)	(0,1.924311476e-034)	(0.3382903266,0)
	(0.0002380536428,0)	(0.003384433507,0)	(0,-0.02659782857)	(-0.1182952496,0)	(0.0228297039,0)
	(0,-0.1025957418)	(-0.1137681018,0)	(0.01773882285,0)	(0,-0.1010258609)	(0.3288205785,0)
	(-0.1127699628,0)	(0.01637295513,0)	(0,-0.1029347448)	(-0.1199260501,0)	(0.02001661433,0)
	(0,-0.1056535336)	(-0.1200767748,0)	(0.03716282905,0)	(0,-0.1115166264)	(-0.1292384627,0)
	(0.03281826173,0)	(0,-0.1118647418)	(-0.1214135096,0)	(0.02980012554,0)	(0,-0.1063461494)
	(0.3413966007,0)	(-0.124434927,0)	(0.02481930212,0)	(0,-0.1074233499)	(-0.07387951918,0)
	(0.04888465448,0)	(0,-0.1455170452)	(0.3454243815,0)	(-0.06143295864,0)	(0.06412640304,0)
	(0,-0.1890887247)	(-0.02278303646,0)	(0.07961436429,0)	(0,-0.2458535097)	(-0.09720487244,0)
	(0.04677840815,0)	(0,-0.1289413997)	(-0.0832286671,0)	(0.05644540215,0)	(0,-0.1574195932)
	(-0.05334544315,0)	(0.0553266421,0)	(0,-0.1768258086)	(-0.05194267971,0)	(0.07528691568,0)
	(0,-0.2167540001)	(-0.1291707421,0)	(0.03972377159,0)	(0,-0.1160077356)	(-0.1173483622,0)
	(0.04456850567,0)	(0,-0.1208576307)	(0.3431556465,0)	(-0.1054605117,0)	(0.05321895479,0)
	(0,-0.1390426911)	(-0.1260831318,0)	(0.05088975849,0)	(0,-0.1290398857)	(-0.1181802331,0)
	(0.01802101191,0)	(0,-0.1053136171)	(-0.09488943801,0)	(0.01017032415,0)	(0,-0.09152510101)
	(-0.1055346387,0)	(0.01241236589,0)	(0,-0.09531606695)	(-0.104466701,0)	(0.01242726939,0)
	(0,-0.09904286331)	(-0.09807183809,0)	(0.01083770881,0)	(0,-0.09591578388)	(0.2917579595,0)
	(-0.1174307304,0)	(0.01703828298,0)	(0,-0.1023837157)	(-0.110765877,0)	(0.01406228376,0)
	(0,-0.09849564652)	(-0.1111213144,0)	(0.01542565157,0)	(0,-0.1023013288)	(0.3047815516,0)
	(-0.06777769671,0)	(-0.002995845691,0)	(0,-0.0369894149)	(-0.05876110515,0)	(-0.003065868503,0)
	(0,-0.02912794028)	(0.117670249,0)	(6.518112279e-034,0)	(-4.632288599e-033,0)	(0,2.664742959e-034)
	(0.06369836975,0)	(-0.0452874474,0)	(-0.003300592124,0)	(0,-0.01910398131)	(-0.06576275483,0)
	(-0.003061032681,0)	(0,-0.02878518163)	(1.676869481e-033,0)	(-1.305803599e-032,0)	(0,6.047355275e-034)
	(-0.07692658186,0)	(-0.005821166277,0)	(0,-0.04480887322)	(0.1887893692,0)	(-0.09930006422,0)
	(-0.008036830236,0)	(0,-0.05157929117)	(-0.07483678304,0)	(-0.002891247389,0)	(0,-0.03539264125)
	(-0.08703029947,0)	(-0.0005270293286,0)	(0,-0.05121191087)	(-0.08972514215,0)	(0.004799156189,0)
	(0,-0.07999012926)	(-0.09052181301,0)	(-0.003180868126,0)	(0,-0.07356758666)	(0.264598262,0)
	(-0.1026944795,0)	(0.007669960668,0)	(0,-0.05926580226)	(-0.1120584296,0)	(-0.0008547156252,0)
	(0,-0.06718218781)	(-0.1024016025,0)	(0.01358195493,0)	(0,-0.0894645221)	(-0.1009246622,0)
	(-0.001288550602,0)	(0,-0.07403509248)	(-0.09258630463,0)	(0.01032377445,0)	(0,-0.08616870926)
	(0.2795672623,0)	(-0.1028162709,0)	(0.009992675444,0)	(0,-0.08037613674)	(-0.1080930773,0)
	(-0.007842388409,0)	(0,-0.06637599445)	(-0.1225057087,0)	(-0.00153894608,0)	(0,-0.06014399685)
	(0.290424803,0)	(-0.003902852543,0)	(0.04686262729,0)	(0,-0.202790049)	(-0.02016405124,0)
	(0.04091945544,0)	(0,-0.1742672651)	(0.3467297789,0)	(0.004458209634,0)	(0.06040238911,0)
