18332	
	(-0.007179285621,0.002414347544)	(-0.00929884046,0.002981278816)	(-0.006840361915,0.002658148137)	(-0.008311555422,0.003085888853)	(-9.615114322e-034,-7.066728281e-035)
	(1.295059275e-033,-1.047100107e-034)	(-4.560052441e-034,-3.809266102e-035)	(6.206572738e-034,-5.333125596e-035)	(0.1415380187,-0.0006052812715)	(-0.006858985849,0.002495246162)
	(-0.008485218037,0.002955776008)	(-5.073959574e-034,-3.83234052e-035)	(6.681140669e-034,-5.50737979e-035)	(0.1556844119,-0.0009520479073)	(-1.113232063e-033,-8.413312114e-035)
	(1.545598601e-033,-1.329997792e-034)	(-0.006507045697,0.002899372022)	(-0.007337709575,0.003129812086)	(-0.006920568311,0.002878132593)	(-0.008199812686,0.003255417637)
	(-5.382583467e-034,-4.479221834e-035)	(7.406727946e-034,-6.703292012e-035)	(0.1714655578,-0.001914209676)	(-0.02910777927,0.007216146781)	(-0.08392060222,0.002459530208)
	(-0.03105294076,0.009573133044)	(-0.0867881225,0.004088037162)	(-0.02778028609,0.006354337293)	(-0.08510366233,0.0006588721892)	(0.0427652409,-0.003652830299)
	(-0.02687677834,0.006018486414)	(-0.08716260925,-0.0008733798563)	(-0.02904884884,0.007695839495)	(-0.08921887027,0.0004812058814)	(-0.03006061379,0.008493272187)
	(-0.08815585648,0.002098504911)	(-0.03192847462,0.01232562224)	(-0.08879394747,0.005743472667)	(-0.03161408099,0.01488417616)	(-0.08964632401,0.007118705678)
	(-0.02579803228,0.005680421541)	(-0.08909841932,-0.002388257067)	(0.03424820745,-0.003055957011)	(-0.02618532644,0.006399071321)	(-0.09290088377,-0.003414919173)
	(-0.02814057088,0.00726401092)	(-0.09106743548,-0.001159502087)	(-0.02839502035,0.008009885324)	(-0.09429430996,-0.002158363829)	(-0.02356777746,0.005683328465)
	(-0.09562122669,-0.005826461807)	(-0.02630224447,0.007063536115)	(-0.09618992133,-0.004503944531)	(0.03046555546,-0.003024666083)	(-0.02611319399,0.00780286349)
	(-0.09973710262,-0.00593666331)	(-0.02831077385,0.009657820166)	(-0.1005839426,-0.004773835913)	(-0.02845333765,0.00874718374)	(-0.09726972636,-0.00328952781)
	(-0.02034912101,0.00446263215)	(-0.09502413341,-0.006962374128)	(0.02104040106,-0.002028932665)	(-0.01637144704,0.003492049703)	(-0.09616583732,-0.008384768256)
	(-0.02324164535,0.00629302307)	(-0.09941304642,-0.007202165747)	(-0.02047782306,0.005434274922)	(-0.100519346,-0.008523701677)	(-0.006161708759,0.001403006142)
