18332	
	(-0.001776494546,0.0005178265993)	(-0.0007911988073,0.0002165683916)	(-0.001691864024,0.0004793441788)	(0.00940743976,-0.001335147901)	(-0.001187282084,0.0003352073749)
	(-0.002664079352,0.0007931022084)	(-0.0014180136,0.0003808996063)	(-0.002870536858,0.000820267995)	(-0.001197078717,0.0004208393201)	(-0.00804683354,0.003270633091)
	(-0.001422247097,0.0004919897834)	(-0.00743992311,0.002937088854)	(-0.001488389501,0.0005185615867)	(-0.008165482357,0.003309125072)	(-0.001210267392,0.0004225397249)
	(-0.007435107027,0.002955852082)	(0.003306744169,-0.0005459982346)	(-0.001453999784,0.0005103257334)	(-0.008645927688,0.003579270073)	(-0.001157546568,0.0004094476754)
	(-0.008561517644,0.003553008429)	(0.002668722073,-0.0004289838287)	(-0.001340958821,0.0004746462666)	(-0.009106262466,0.003861324007)	(-0.001085510843,0.0003867894577)
	(-0.009203039815,0.003935058041)	(-0.0009059628702,0.0003220627992)	(-0.008419281017,0.003489736205)	(-0.0002941902977,0.0001051990539)	(-0.007789454795,0.003185842549)
	(0.0007667051993,-0.0001288104504)	(-0.0004734690524,0.0001692829908)	(-0.008040367809,0.003308778091)	(-0.0003915586755,0.0001406422403)	(-0.008848893853,0.00374892264)
	(-0.0001545112803,5.540648845e-005)	(-0.008238773271,0.003419005751)	(-0.0006647873524,0.0002372866272)	(-0.008284561721,0.003429715227)	(0.001610724172,-0.0002652522795)
	(-0.0005889211851,0.0002112432721)	(-0.009018015812,0.003842165037)	(-0.0008287911198,0.0002964398614)	(-0.009113055382,0.003890995029)	(-2.764864514e-034,2.860871487e-034)
	(-0.009493339709,0.004147869226)	(-0.0002338288404,8.415866606e-005)	(-0.009143564426,0.003925358808)	(-7.074391535e-034,4.578831637e-034)	(-0.008637504185,0.003634200704)
	(7.351084893e-006,-2.129263117e-006)	(-0.001624265581,0.0004976144878)	(-0.004380826075,0.001455991426)	(-0.00180538784,0.0005391424749)	(-0.004481810655,0.001460219445)
